"#";"Article_NO";"Barcode";"Article_text";"Stock_Location";"QTY";"Min QTY";"Manufacturer";"Batchnumber";"Best-Before-Date";"INV_Date";"Price";"Last modified"
"253";"BAU-3570-SW";"BAU-3570-SW";"Baustein 1x6 schwarz";"05-700-04";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"254";"MUR-4170-RO";"MUR-4170-RO";"Holzmurmel rot";"02-500-01";"12";"";"";"";"";"";"";"2025-01-16 10:58:40"
"255";"BAU-3570-SW";"BAU-3570-SW";"Baustein 1x6 schwarz";"05-700-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"256";"MUR-4170-RO";"MUR-4170-RO";"Holzmurmel rot";"02-500-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"257";"BAU-3580-OR";"BAU-3580-OR";"Baustein 1x6 orange";"05-700-05";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"258";"MUR-4180-HR";"MUR-4180-HR";"Holzmurmel hellrosa";"02-400-06";"16";"";"";"";"";"";"";"2024-12-20 14:45:55"
"259";"BAU-3580-OR";"BAU-3580-OR";"Baustein 1x6 orange";"05-700-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"260";"MUR-4180-HR";"MUR-4180-HR";"Holzmurmel hellrosa";"02-400-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"261";"BAU-3590-GR";"BAU-3590-GR";"Baustein 1x6 grau";"05-700-06";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"262";"MUR-4190-TU";"MUR-4190-TU";"Holzmurmel tuerkis";"02-500-06";"12";"";"";"";"";"";"";"2025-01-16 10:58:25"
"263";"BAU-3590-GR";"BAU-3590-GR";"Baustein 1x6 grau";"05-700-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"264";"MUR-4190-TU";"MUR-4190-TU";"Holzmurmel tuerkis";"02-500-060";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"265";"BAU-3600-GE";"BAU-3600-GE";"Baustein 1x6 gelb";"05-800-01";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"266";"BAU-3600-GE";"BAU-3600-GE";"Baustein 1x6 gelb";"05-800-010";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"267";"BAU-3610-LI";"BAU-3610-LI";"Baustein 1x6 lila";"05-800-02";"6";"";"";"";"";"";"";"2024-12-20 14:45:55"
"268";"BAU-3610-LI";"BAU-3610-LI";"Baustein 1x6 lila";"05-800-020";"0";"";"";"";"";"";"";"2024-12-20 14:45:55"
"269";"BAU-3620-WE";"BAU-3620-WE";"Baustein 1x6 weiß";"05-800-03";"7";"";"";"";"";"";"";"2024-12-20 14:45:56"
"270";"BAU-3620-WE";"BAU-3620-WE";"Baustein 1x6 weiß";"05-800-030";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"271";"BAU-3630-BR";"BAU-3630-BR";"Baustein 1x6 braun";"05-800-04";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"272";"BAU-3630-BR";"BAU-3630-BR";"Baustein 1x6 braun";"05-800-040";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
"273";"BAU-3640-GU";"BAU-3640-GU";"Baustein 2x6 gruen";"05-800-05";"6";"";"";"";"";"";"";"2024-12-20 14:45:56"
"274";"BAU-3640-GU";"BAU-3640-GU";"Baustein 2x6 gruen";"05-800-050";"0";"";"";"";"";"";"";"2024-12-20 14:45:56"
